Scuola,Meccanografico,Indirizzo,Città,Prov,Regione,Paese,Full Address,Longitudine,Latitudine,Nomerete,SitoScuola,Dominio
"Istituto Tecnico ""Camillo Morigia-Luigi Perdisa""",RATL02000L,"via Guglielmo Marconi, 6",Ravenna,(RA),Emilia Romagna,Italia,"via Guglielmo Marconi, 6 Ravenna (RA) Emilia Romagna Italia ",44.4052035,12.1919411,,https://www.itmorigiaperdisa.edu.it/,https://bibliotecheromagna.medialibrary.it
"Istituto Comprensivo Statale ""G. Pascoli""",RAIC816005,"via Gramsci, 18",Riolo Terme,(RA),Emilia Romagna,Italia,"via Gramsci, 18 Riolo Terme (RA) Emilia Romagna Italia ",44.27609,11.72722,,https://www.icpascoliriolo.edu.it/,https://bibliotecheromagna.medialibrary.it
Istituto Comprensivo 1 Modena,MOIC84100V,"via Amundsen, 80",Modena,(MO),Emilia Romagna,Italia,"via Amundsen, 80 Modena (MO) Emilia Romagna Italia ",44.64783,10.92539,,https://www.ic1modena.edu.it/,https://emilib.medialibrary.it
"Istituto Comprensivo Statale ""Salvo d'Acquisto""",PRIC82900G,"via Pelicelli, 8/A",Parma,(PR),Emilia Romagna,Italia,"via Pelicelli, 8/A Parma (PR) Emilia Romagna Italia ",44.79935,10.32618,,https://icsalvodacquistoparma.edu.it/,https://emilib.medialibrary.it
"Istituto Tecnico ""Scaruffi-Levi-Tricolore""",RETD09000V,"via Filippo Re, 8",Reggio Emilia,(RE),Emilia Romagna,Italia,"via Filippo Re, 8 Reggio Emilia (RE) Emilia Romagna Italia ",44.7005662,10.6342071,,https://www.scaruffilevitricolore.edu.it/,https://emilib.medialibrary.it
"Liceo Classico e Linguistico ""L.A. Muratori-San Carlo""",MOPC020008,"via Cittadella, 50",Modena,(MO),Emilia Romagna,Italia,"via Cittadella, 50 Modena (MO) Emilia Romagna Italia ",44.64783,10.92539,,https://www.muratorisancarlo.edu.it/,https://emilib.medialibrary.it
"Liceo Scientifico Statale ""Giacomo Ulivi""",PRPS04000X,"via Maria Luigia, 3",Parma,(PR),Emilia Romagna,Italia,"via Maria Luigia, 3 Parma (PR) Emilia Romagna Italia ",44.9256637,10.3795143,,https://www.liceoulivi.it/,https://emilib.medialibrary.it
"Istituto Statale di Istruzione Superiore ""Enrico Mattei""",PCIS00400E,"via Boiardi, 5",Fiorenzuola d'Arda,(PC),Emilia Romagna,Italia,"via Boiardi, 5 Fiorenzuola d'Arda (PC) Emilia Romagna Italia ",44.92435,9.91329,,https://www.istitutomatteifiorenzuola.edu.it/,https://emilib.medialibrary.it
Istituto Comprensivo Statale di Fiorenzuola d'Arda,PCIC818008,"via San Bernardo da Chiaravalle, 10",Fiorenzuola d'Arda,(PC),Emilia Romagna,Italia,"via San Bernardo da Chiaravalle, 10 Fiorenzuola d'Arda (PC) Emilia Romagna Italia ",44.9247281,9.9117123,,https://www.istitutocomprensivofiorenzuola.edu.it/index.php,https://emilib.medialibrary.it
Istuto Comprensivo Quattro Castella-Vezzano sul Crostolo,REIC84400Q,"via P. Togliatti, 20/2",Quattro Castella,(RE),Emilia Romagna,Italia,"via P. Togliatti, 20/2 Quattro Castella (RE) Emilia Romagna Italia ",44.63496,10.47429,,https://ic4cv.edu.it/,https://emilib.medialibrary.it
Istituto Comprensivo Statale Modena 10,MOIC84800N,"strada Albareto, 93",Modena,(MO),Emilia Romagna,Italia,"strada Albareto, 93 Modena (MO) Emilia Romagna Italia ",44.6878119,10.9637721,,https://www.ic10modena.edu.it/index.php,https://emilib.medialibrary.it
"Istituto di Istruzione Superiore ""Agostino Paradisi""",MOIS00700G,"via Resistenza, 700",Vignola,(MO),Emilia Romagna,Italia,"via Resistenza, 700 Vignola (MO) Emilia Romagna Italia ",44.48758,11.0058,,https://www.scuolaparadisi.edu.it/,https://emilib.medialibrary.it
"Istituto Statale di Istruzione Secondaria Superiore ""Pietro Giordani""",PRIS00400B,"via Lazio, 3",Parma,(PR),Emilia Romagna,Italia,"via Lazio, 3 Parma (PR) Emilia Romagna Italia ",44.8026733,10.3450867,,https://giordaniparma.edu.it/,https://emilib.medialibrary.it
Scuola per L'Europa,PRIC83700E,Via Langhirano 177/A,Parma,(PR),Emilia Romagna,Italia,Via Langhirano 177/A Parma (PR) Emilia Romagna Italia ,44.7689439,10.3195921,,https://www.scuolaperleuropa.eu/,https://pr-scuolaeuropa.medialibrary.it
Istituto Comprensivo 3 di Modena,MOIC840003,"via Piersanti Mattarella, 145",Modena,(MO),Emilia Romagna,Italia,"via Piersanti Mattarella, 145 Modena (MO) Emilia Romagna Italia ",44.6215561,10.9226243,,https://www.ic3modena.edu.it/,https://mo-mattarella.medialibrary.it/
Istituto Comprensivo Carpaneto Piacentino,PCIC814001,"via Franchini, 10",Carpaneto Piacentino,(PC),Emilia Romagna,Italia,"via Franchini, 10 Carpaneto Piacentino (PC) Emilia Romagna Italia ",44.91355,9.78703,,https://www.iccarpaneto.it/,https://scuola.medialibrary.it
"Istituto di Istruzione Superiore ""Aldini Valeriani Sirani""",BOIS01900X,"via Bassanelli, 9/11",Bologna,(BO),Emilia Romagna,Italia,"via Bassanelli, 9/11 Bologna (BO) Emilia Romagna Italia ",44.49381,11.33875,,http://www.iav.it/home,https://bo-avs.medialibrary.it
Istituto Sacro Cuore,MOPS02500E,"viale Storchi, 249",Modena,(MO),Emilia Romagna,Italia,"viale Storchi, 249 Modena (MO) Emilia Romagna Italia ",44.64783,10.92539,,http://sacrocuore.intertechitalia.it/sacrocuore/Viewer#,https://scuola.medialibrary.it
"Istituto Comprensivo 7 ""Luigi Orsini""",BOIC85600P,"via Vivaldi, 76",Imola,(BO),Emilia Romagna,Italia,"via Vivaldi, 76 Imola (BO) Emilia Romagna Italia ",44.35916,11.7132,,https://www.ic7imola.edu.it/default.asp,https://bo-orsini.medialibrary.it
"Liceo Scientifico Statale ""Augusto Righi""",BOPS01000V,"viale Carlo Pepoli, 3",Bologna,(BO),Emilia Romagna,Italia,"viale Carlo Pepoli, 3 Bologna (BO) Emilia Romagna Italia ",44.4915444,11.3304689,,https://www.liceorighibologna.it/,https://bo-righi.medialibrary.it
"Istituto Statale di Istruzione Superiore ""Giuseppe Luosi""",MOIS00600Q,"via 29 maggio, 12-14",Mirandola,(MO),Emilia Romagna,Italia,"via 29 maggio, 12-14 Mirandola (MO) Emilia Romagna Italia ",44.8788129,11.0788298,,https://www.iisgluosi.com/,https://mo-luosi.medialibrary.it
"Istituto di Istruzione Superiore ""Silvio d'Arzo""",REIS00400D,"strada Sant'Ilario, 28/C",Montecchio Emilia,(RE),Emilia Romagna,Italia,"strada Sant'Ilario, 28/C Montecchio Emilia (RE) Emilia Romagna Italia ",44.7290953,10.4466528,,https://www.istitutodarzo.edu.it/,https://re-darzo.medialibrary.it
"Liceo ""Manfredo Fanti""",MOPS030002,"viale Peruzzi, 7",Carpi,(MO),Emilia Romagna,Italia,"viale Peruzzi, 7 Carpi (MO) Emilia Romagna Italia ",44.78237,10.8777,,https://www.liceofanti.it/,https://mo-fanti.medialibrary.it
Istituto Comprensivo 1 Forlì,FOIC826006,"via Giorgina Saffi, 12",Forlì,(FC),Emilia Romagna,Italia,"via Giorgina Saffi, 12 Forlì (FC) Emilia Romagna Italia ",44.2218674,12.0383187,,https://www.ic1forli.edu.it/,https://fc-ic1.medialibrary.it
"Istituto Comprensivo Statale ""Emilio Rosetti""",FOIC805005,"via Crocette, 34",Forlimpopoli,(FC),Emilia Romagna,Italia,"via Crocette, 34 Forlimpopoli (FC) Emilia Romagna Italia ",44.19107,12.12873,,https://www.icrosetti.edu.it/,https://fc-rosetti.medialibrary.it
"Istituto Comprensivo  ""Francesco Petrarca""",REIC821003,"via Petrarca, 1",San Polo d'Enza,(RE),Emilia Romagna,Italia,"via Petrarca, 1 San Polo d'Enza (RE) Emilia Romagna Italia ",44.6269,10.42667,,https://icsanpolodenza.edu.it/,https://scuola.medialibrary.it
Scuola Secondaria di I Grado viale della Resistenza,FOMM02800V,"via San Colombano, 190",Cesena,(FC),Emilia Romagna,Italia,"via San Colombano, 190 Cesena (FC) Emilia Romagna Italia ",44.1439523,12.2254965,,https://www.smresistenza.edu.it/,https://fc-resistenza.medialibrary.it
"ISISS ""Magnaghi-Solari""",PRIS006003,"viale Romagnosi, 7",Salsomaggiore Terme,(PR),Emilia Romagna,Italia,"viale Romagnosi, 7 Salsomaggiore Terme (PR) Emilia Romagna Italia ",44.8125983,9.9851031,,https://www.magnaghisolari.edu.it/,https://scuola.medialibrary.it
"Istituto Tecnico Commerciale Statale ""Rosa Luxemburg""",BOTD06000Q,"via dalla Volta, 4",Bologna,(BO),Emilia Romagna,Italia,"via dalla Volta, 4 Bologna (BO) Emilia Romagna Italia ",44.5144973,11.3112329,,https://www.luxemburg.bo.it/,https://bo-luxemburg.medialibrary.it
Istituto Comprensivo Statale di Bussetto,PRIC82200R,"viale Alfonso Pallavicino, 2",Busseto,(PR),Emilia Romagna,Italia,"viale Alfonso Pallavicino, 2 Busseto (PR) Emilia Romagna Italia ",44.9774993,10.0404233,,https://www.icbusseto.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo Statale Cervia 2,RAIC829007,"via Caduti per la Libertà, 16",Cervia,(RA),Emilia Romagna,Italia,"via Caduti per la Libertà, 16 Cervia (RA) Emilia Romagna Italia ",44.2571284,12.3508329,,https://www.iccervia2.edu.it/,https://ra-iccervia2.medialibrary.it
"Istituto Comprensivo ""Randi""",RAIC82600Q,"via Marconi, 15",Ravenna,(RA),Emilia Romagna,Italia,"via Marconi, 15 Ravenna (RA) Emilia Romagna Italia ",44.41344,12.20121,,https://www.icrandi.edu.it/,https://scuola.medialibrary.it
"Istituto Comprensivo ""Alberto Marvelli""",RNIC80600R,"via Covignano, 238",Rimini,(RN),Emilia Romagna,Italia,"via Covignano, 238 Rimini (RN) Emilia Romagna Italia ",44.0423914,12.5513644,,https://www.icmarvelli.edu.it/,https://rn-icmarvelli.medialibrary.it
Istituto Comprensivo Castellarano,REIC83700L,"via Fuori Ponte, 23",Castellarano,(RE),Emilia Romagna,Italia,"via Fuori Ponte, 23 Castellarano (RE) Emilia Romagna Italia ",44.5156016,10.7299979,,https://iccastellarano.edu.it/,https://re-iccastellarano.medialibrary.it
"Istituto Comprensivo ""C. Govoni""",FEIC81100X,"via Fortezza, 20",Ferrara,(FE),Emilia Romagna,Italia,"via Fortezza, 20 Ferrara (FE) Emilia Romagna Italia ",44.8383641,11.6070974,,https://icgovoniferrara.edu.it/,https://fe-icgovoni.medialibrary.it
"Istituto Comprensivo ""Teodoro Bonati""",FEIC802005,"via Gardenghi Monsignor Ulisse, 5",Bondeno,(FE),Emilia Romagna,Italia,"via Gardenghi Monsignor Ulisse, 5 Bondeno (FE) Emilia Romagna Italia ",44.88944,11.41542,,http://www.icbonatibondeno.edu.it/,https://fe-bonati.medialibrary.it
"Istituto di Istruzione Secondaria Superiore ""Paciolo-D'Annunzio""",PRIS00300G,"via Manzoni, 6",Fidenza,(PR),Emilia Romagna,Italia,"via Manzoni, 6 Fidenza (PR) Emilia Romagna Italia ",44.86223,10.06546,,https://www.paciolo-dannunzio.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo Statale Mondaino,RNIC80200D,"via Fonte Leali, 392",Mondaino,(RN),Emilia Romagna,Italia,"via Fonte Leali, 392 Mondaino (RN) Emilia Romagna Italia ",43.8568805,12.6702034,,https://www.icmondaino.edu.it/,https://rn-mondaino.medialibrary.it
Istituto Comprensivo di Neviano Arduini e Lesignano de' Bagni,PRIC81500N,"via Chiesa, 2",Neviano degli Arduini,(PR),Emilia Romagna,Italia,"via Chiesa, 2 Neviano degli Arduini (PR) Emilia Romagna Italia ",44.5822729,10.3152551,,https://icnevianoarduini.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo San Giovanni in Marignano,RNIC80100N,"via Ferrara, 30",San Giovanni in Marignano,(RN),Emilia Romagna,Italia,"via Ferrara, 30 San Giovanni in Marignano (RN) Emilia Romagna Italia ",43.9343767,12.7006382,,https://www.icmarignano.it/,https://scuola.medialibrary.it
Istituto Comprensivo di Rubiera,REIC83600R,"piazza XXIV maggio, 13",Rubiera,(RE),Emilia Romagna,Italia,"piazza XXIV maggio, 13 Rubiera (RE) Emilia Romagna Italia ",44.65158,10.7794,,https://www.icrubiera.edu.it/,https://re-icrubiera.medialibrary.it
Istituto Comprensivo di Loiano Monghidoro,BOIC88400V,"via Michele dei Ramazzotti, 24",Monghidoro,(BO),Emilia Romagna,Italia,"via Michele dei Ramazzotti, 24 Monghidoro (BO) Emilia Romagna Italia ",44.2208673,11.3210165,,https://icloianomonghidoro.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo Casalgrande,REIC833009,"via Antonio Gramsci, 21",Casalgrande,(RE),Emilia Romagna,Italia,"via Antonio Gramsci, 21 Casalgrande (RE) Emilia Romagna Italia ",44.5854924,10.7373123,,https://iccasalgrande.edu.it/,https://re-iccasalgrande.medialibrary.it
Istituto Comprensivo 2 Ravarino,MOIC84900D,"via Roma, 129",Ravarino,(MO),Emilia Romagna,Italia,"via Roma, 129 Ravarino (MO) Emilia Romagna Italia ",44.724329,11.097732,,https://www.ic2ravarino.edu.it/,https://mo-ic2ravarino.medialibrary.it
Istituto Comprensivo 21 Bologna,BOIC88000G,"via Laura Bassi Veratti, 20",Bologna,(BO),Emilia Romagna,Italia,"via Laura Bassi Veratti, 20 Bologna (BO) Emilia Romagna Italia ",44.482894,11.3681515,,https://www.istitutocomprensivo21bologna.edu.it/,https://bo-ic21.medialibrary.it
Istituto Comprensivo 6 Imola,BOIC84700X,"via Villa Clelia, 18",Imola,(BO),Emilia Romagna,Italia,"via Villa Clelia, 18 Imola (BO) Emilia Romagna Italia ",44.3551365,11.6993037,,https://www.ic6imola.edu.it/,https://bo-ic6imola.medialibrary.it
Istituto Comprensivo Montecchio,REIC835001,"via XXV Aprile, 14",Montecchio Emilia,(RE),Emilia Romagna,Italia,"via XXV Aprile, 14 Montecchio Emilia (RE) Emilia Romagna Italia ",44.6989325,10.4511913,,https://www.icmontecchio.edu.it/,https://re-montecchio.medialibrary.it
